فارسی,english
دي سيکلومين آمپول,DICYCLOMINE HCL 20MG/2ML AMP
ايرينوکام (ايرينوتکان 100م ويال,IRINOCAM® (IRINOTECAN 100 MG VIAL
دي هيدروارگوتامين آمپول,DIHYDROERGOTAMINE MESYLATE 1MG/ML AMP
ايرينول (ايرينوتکان 100م ويال,IRINOL® (IRINOTECAN HCL 100 MG VIAL
اينترفرون گاما 100 ميکروگرم آمپول,INTERFERON GAMMA 100 MCG INJ
اينترفرون بتا ب 1 ويال 8 ميکرو واحدي,INTERFERON B 1B 8 MIU VIAL
بتافرون (اينترفرون بتا ب 1 ويال 8 ميکرو واحدي,BETAFERON® (INTERFERON B 1B 8 MIU VIAL
اکتوفرون (اينترفرون بتا ب 1 ويال 8 ميکرو واحدي,ACTOFERON® (INTERFERON B 1B 8 MIU VIAL
اکستاويا (اينترفرون بتا ب 1 ويال 8 ميکرو واحدي,EXTAVIA® (INTERFERON B 1B 8 MIU VIAL
زيفرون (اينترفرون بتا ب 1 ويال 8 ميکرو واحدي,ZIFRON® (INTERFERON B 1B 8 MIU VIAL
اينترفرون بتا آ 1 ويال 44 ميکروگرم,INTERFERON B 1A 44 MCG SYRI
اکتوريف (اينترفرون بتا آ 1 ويال 44 ميکروگرم,ACTORIF® (INTERFERON B 1A 44 MCG SYRI
ربيف (اينترفرون بتا آ 1 ويال 44 ميکروگرم,REBIF® (INTERFERON B 1A 44 MCG SYRI
رسيژن (اينترفرون بتا آ 1 ويال 44 ميکروگرم,RECIGEN® (INTERFERON B 1A 44 MCG SYRI
اينترفرون بتا آ 1 ويال 30 ميکروگرم,INTERFERON BETA 1A 30 MCG VIAL
آوونکس (اينترفرون بتا آ 1 ويال 30 ميکروگرم,AVONEX® (INTERFERON BETA 1A 30 MCG VIAL
سينووکس (اينترفرون بتا آ 1 ويال 30 ميکروگرم,CINNOVEX® (INTERFERON BETA 1A 30 MCG VIAL
اکتووکس (اينترفرون بتا آ 1 ويال 30 ميکروگرم,ACTOVEX® (INTERFERON BETA 1A 30 MCG VIAL
انسولين گلوليسين 100 واحدي پن,INSULIN GLULISINE 100 IU PEN
اپيدرا (انسولين گلوليسين 100 واحدي ويال,APIDRA® (INSULIN GLULISINE 100 IU VIAL
انسولين گلارژين 300 واحدي کارتريج,INSULIN GLARGINE 300 IU CART
اپي نفرين =آدرنالين داخل آمپول,EPINEPHRINE 1 MG/ML   INJECTION
روناژين (انسولين گلارژين 300 واحدي کارتريج,RONAGINE® (INSULIN GLARGINE 300 IU CART
انسولين گلارژين 300 واحدي پن,INSULIN GLARGINE 300 IU PEN
انسولين دتيمر 300 واحدي پن,INSULIN DETEMIR 300 IU PEN
لومير (انسولين دتيمر 100 واحدي پن,LEVEMIR® (INSULIN DETEMIR 100 IU PEN
استراديول والرات  آمپول 10,ESTRADIOL VALERATE 10 MG/ML AMP
انسولين آسپارت ميکس 101 واحدي,INSULIN ASPART (MIX ) 101 IU FOR INJ
انسولين آسپارت 100 واحدي,INSULIN ASPART 100 IU FOR INJ
اينفليکسي مب 100م,INFLIXIMAB 100 MG VIAL
ايندوسيانين سبز 25م ويال,INDOCYANINE GREEN 25 MG VIAL
اينفراسيانين (ايندوسيانين سبز 25م ويال,INFRACYANINE® (INDOCYANINE GREEN 25 MG VIAL
ايمونوگلوبولين 2.5 گرم ويال,IMMUNE GLOBULIN 2.5 G (IV ) VIAL
ايمونوگلوبولين 1 گرم ويال,IMMUNE GLOBULIN 1 G (IV ) VIAL
ايمي گلوسراز ويال 400 واحدي,IMIGLUCERASE 400 IU VIAL
فلوفنازين آمپول,FLUPHENAZINE DECANOATE 25 MG/1 ML AMP
سرزايم (ايمي گلوسراز ويال 400 واحدي,CEREZYME® (IMIGLUCERASE 400 IU VIAL
ايفوسفاميد 1گرمي ويال,IFOSFAMIDE 1 GR VIAL
فوروزمايد20م /2م ل آمپول,FUROSEMIDE 10 MG/ML 2 ML AMP
هولوکسان (ايفوسفاميد 1گرمي ويال,HOLOXAN® (IFOSFAMIDE 1 GR VIAL
ايزوکسان (ايفوسفاميد 1گرمي ويال,ISOXAN® (IFOSFAMIDE 1 GR VIAL
زاودوس (ايداروبيسين 5م ويال,ZAVEDOS® (IDARUBICIN HCl 5 MG VIAL
ايداروبيسين 5م ويال,IDARUBICIN HCl 5 MG VIAL
جنتامايسين 20م  آمپول,GENTAMICIN 20MG/2ML 2ML AMP
جنتامايسين 40ميليگرمي آمپول,GENTAMICIN 40MG/ML 1ML AMP
جنتامايسين 80م  آمپول,GENTAMICIN 80MG/2ML 2ML AMP
ايداروبيسين 10م ويال,IDARUBICIN HCl 10 MG VIAL
زاودوس (ايداروبيسين 10م ويال,ZAVEDOS® (IDARUBICIN HCl 10 MG VIAL
گرانيک (گراني سترون 1م آمپول,GRANIC® (GRANISETRON AS HCL 1 MG AMP
گراتريل (گراني سترون 1م آمپول,GRATRIL® (GRANISETRON AS HCL 1 MG AMP
گراني سترون 3م آمپول,GRANISETRON HCL 3 MG VIAL
گوسرلين استات 10.8م,GOSERELIN ACETATE 10.8 MG SYRI
زولادکس (گوسرلين استات 10.8م,ZOLADEX LA® (GOSERELIN 10.8 MG SYRI
گلاتيرامر استات 20م,GLATIRAMER ACETATE 20 MG SYRI
اسويمر (گلاتيرامر استات 20م,OSVIMER® (GLATIRAMER 20 MG SYRI
کوپامر (گلاتيرامر استات 20م,COPAMER® (GLATIRAMER 20 MG SYRI
گلوکانتيم  آمپول,MEGLUMINE ANTIMONATE 1.5 G/5ML AMP
هالوپريدول 50دکانوات آمپول,HALOPERIDOL 50 MG/ML AMPULE
هالوپريدول آمپول 5 ميلي گرم,HALOPERIDOL 5 MG/ML AMPULE
جيمسيتابين 1 گرمي ويال,GEMCITABINE HCL 1 GR VIAL
جمزار (جيمسيتابين 1 گرمي ويال,GEMZAR® (GEMCITABINE HCL 1 GR VIAL
جيمسيتابين 1 گرمي ويال ابه,GEMCITABINE <EBEWE> 1 GR VIAL
جيمسيتابين 1 گرمي ويال هوسپيرا,GEMCITABINE <HOSPIRA> 1 GR VIAL
جمتاز (جيمسيتابين 1 گرمي ويال,GEMTAZ® (GEMCITABINE HCL 1 GR VIAL
جمنيل (جيمسيتابين 1 گرمي ويال,GEMNIL® (GEMCITABINE HCL 1 GR VIAL
جمکو (جيمسيتابين 1 گرمي ويال,GEMKO® (GEMCITABINE HCL 1 GR VIAL
اکسيجم (جيمسيتابين 1 گرمي ويال,AXIGEM® (GEMCITABINE HCL 1 GR VIAL
جميتا (جيمسيتابين 1 گرمي ويال,GEMITA® (GEMCITABINE HCL 1 GR VIAL
جيمسيتابين 200م ويال,GEMCITABINE HCL 200 MG VIAL
هيدروکورتيزون آمپول,HYDROCORTISONE AMPULE
هيدروکورتيزون solu-cortef100mg,SOLU-CORTEF  100 MG 8ML   -INJECTIO
جمزار (جيمسيتابين 200م ويال,GEMZAR® (GEMCITABINE HCL 200 MG VIAL
هيوسين آمپول,HYOSCINE N-BUTYL BROMIDE 20 MG AMPULE
جيمسيتابين 200م ويال ابه,GEMCITABINE <EBEWE> 200 MG VIAL
جيمسيتابين 200م ويال هوسپيرا,GEMCITABINE <HOSPIRA> 200 MG VIAL
جمتاز (جيمسيتابين 200م ويال,GEMTAZ® (GEMCITABINE HCL 200 MG VIAL
جمنيل (جيمسيتابين 200م ويال,GEMNIL® (GEMCITABINE HCL 200 MG VIAL
جمکو (جيمسيتابين 200م ويال,GEMKO® (GEMCITABINE HCL 200 MG VIAL
کموجم (جيمسيتابين 200م ويال,CHEMOGEM® (GEMCITABINE HCL 200 MG VIAL
جميتا (جيمسيتابين 200م ويال,GEMITA® (GEMCITABINE HCL 200 MG VIAL
گاماگلوبولين آمپول,GAMMA GLOBULIN AMP
گانيرليکس استات 0.25 م,GANIRELIX 0.25 MG INJ
ونوفر آمپول (ايرون سوکروز,VENOFER 100MG/5ML AMP
انسولين NPH انساني ايراني 1000واحدي ويال,INSULIN ISOPHAN (NPH) HUMAN IRANI
اورگالوتران (گانيرليکس استات 0.25 م,ORGALUTRAN® (GANIRELIX 0.25 MG INJ
گانسيکلووير 500م ويال,GANCICLOVIR 500 MG VIAL
گانسيکلووير 500م ويال,CYMEVENE® (GANCICLOVIR 500 MG VIAL
گالسولفاز 1م ويال,GALSULFASE 1 MG VIAL
ناگلازيم (گالسولفاز 1م ويال,NAGLAZYME (GALSULFASE 1 MG VIAL
فوليتروپين 75 واحدي,FOLITROPIN 75 IU INJ
پيورگان (فوليتروپين 75 واحدي,PUREGON® (FOLITROPIN 75 IU VIAL
فوليتروپ (فوليتروپين 75 واحدي,FOLLITROPE® (FOLLITROPIN 75 IU VIAL
گونادوپين (فوليتروپين 75 واحدي,GONADOPIN® (FOLITROPIN 75 IU VIAL
گونادوپين پي اف اس (فوليتروپين 75 واحدي,GONADOPIN PFS® (FOLITROPIN 75 IU SYR
فوليتروپين 300 واحدي پن,FOLITROPIN 300 IU PEN
فوليتروپين 450 واحدي پن,FOLITROPIN 450 IU PEN
فوليتروپين 150 واحدي پن,FOLITROPIN 150 IU PEN
فلوراسيل 1000م آمپول,FLUOROURACIL 1000 MG AMP
ابه فلورو (فلوراسيل 1000م آمپول,EBEFLUORO® (FLUOROURACIL 1000 MG AMP
يوترال (فلوراسيل 1000م آمپول,UTERAL® (FLUOROURACIL 1000 MG AMP
فلوراسيل 500م آمپول,FLUOROURACIL 500 MG AMP
فلوراسيل 250م آمپول,FLUOROURACIL 250 MG AMP
ابه فلورو (فلوراسيل 250م آمپول,EBEFLUORO® (FLUOROURACIL 250 MG AMP
فلومازلين 0.5م آمپول,FLUMAZENIL 0.5 MG AMP
لورازپام آمپول,LORAZEPAM  2ML   -INJECTION
فلودارابين 50م ويال,FLUDARABINE 50 MG VIAL
بندارابين (فلودارابين 50م ويال,BENDARABIN® (FLUDARABINE 50 MG VIAL
فلوداليم (فلودارابين 50م ويال,FLUDALYM® (FLUDARABINE 50 MG VIAL
فلودارا (فلودارابين 50م ويال,FLUDARA® (FLUDARABINE 50 MG VIAL
فلودارابين 50م ويال اکتاويز,FLUDARABINE-ACTAVIS® 50 MG VIAL
فيلگراستيم 300 ميکرو آمپول,FILGRASTIM  (GCSF 300 MCG INJ
نئوپوژن (فيلگراستيم 300 ميکرو آمپول,NEUPOGEN®(FILGRASTIM GCSF 300 MCG SYR
فيلگراستيم 600 ميکرو آمپول,FILGRASTIM  (GCSF 600 MCG INJ
زارزيو (فيلگراستيم 0.3م آمپول,ZARZIO® (FILGRASTIM  GCSF 0.3 MG INJ
فري کربوکسي مالتوس 500م گ ويال,FERRIC CARBOXYMALTOSE 500 MG VIAL
آنتي هموفيليک فاکتور 1.2م VIIa ويال,ANTIHEMOPHILIC FACTOR VIIa 1.2 MG VIAL
آريوسون (آنتي هموفيليک فاکتور 1.2م VIIa ويال,ARYOSEVEN(ANTIHEMOPHILIC FACTOR VIIa 1.2 MG VIAL
اتوپوسايد 100م آمپول,ETOPOSIDE 100 MG AMP
ابپوسايد (اتوپوسايد 100م ويال,EBEPOSID® (ETOPOSIDE 100 MG VIAL
لاستت (اتوپوسايد 100م آمپول,LASTET® (ETOPOSIDE 100 MG AMP
متوکاربامول  آمپول,METHOCARBAMOLE 1000 MG/10 ML AMP
مترونيدازول ويال,METRONIDAZOLE 500 MG/100 ML VIAL
اتانرسپت 50م ويال,ETANERCEPT 50 MG VIAL
متيل پردنيزولون 40 داخلي آمپول,METHYLPREDNISOLNE ACETATE 40 MG/ML AMP
انبرل (اتانرسپت 50م ويال,ENBREL® (ETANERCEPT 50 MG VIAL
تستوسترون100 ميل آمپول,TESTOSTRONE ENANTATE 100MG/ML AMP
تستوسترون 250م آمپول ايراني,TESTOSTRONE 250MG/ML AMP IRANI
متوکلوپراميدآمپول,METOCLOPRAMIDE 10 MG/2 ML AMP
اتانرسپت 25م ويال,ETANERCEPT 25 MG VIAL
انبرل (اتانرسپت 25م ويال,ENBREL® (ETANERCEPT 25 MG VIAL
آب مقطر5سي سي پلاستيکي,WATER FOR INJECTION 5ML P-AMP
اپتيفيباتايد 750 ميکرو آمپول,EPTIFIBATIDE 750 MCG INJ
اينتگريلين (اپتيفيباتايد 750 ميکرو ويال,INTEGRILIN® (EPTIFIBATIDE 750 MCG VIAL
اپتيفيباتايد 2م آمپول,EPTIFIBATIDE 2 MG INJ
اينتگريلين (اپتيفيباتايد 2م ويال,INTEGRILIN® (EPTIFIBATIDE 2 MG VIAL
اپيروبيسين 50م ويال,EPIRUBICIN 50 MG VIAL
فارما رروبيسين (اپيروبيسين 50م ويال,FARMARUBICIN® (EPIRUBICIN 50 MG VIAL
اپيروبيسين 10م ويال,EPIRUBICIN 10 MG VIAL
ابه روبي (اپيروبيسين 10م ويال,EBERUBI® (EPIRUBICIN 10 MG VIAL
فارما روبيسين (اپيروبيسين 10م ويال,FARMARUBICIN® (EPIRUBICIN 10 MG VIAL
کلکسان (انوکسوپرين 8000واحدي آمپول,CLEXANE® (ENOXAPARINE 8000 IU SYR
ناندرولون دکانوات آمپول,NANDROLONE DECANOATE 25MG/ML AMP
ناندرولون فنيل پروپيونات آمپول,NANDROLONE PHENPROPIONATE 25MG/ML AMP
نالوکسون آمپول,NALOXONE HCL 0.4MG/1ML AMP
نوکسپرين (انوکسوپرين 8000واحدي آمپول,NOXPRIN® (ENOXAPARINE 8000 IU SYR
انوکساپارين آمپول 6000 واحدي,ENOXAPARINE 6000 IU SYR
انوکسان (انوکسوپرين 6000 واحدي آمپول,ENOXAN® (ENOXAPARINE 6000 IU SYR
لوپنوکس (انوکسوپرين 6000 واحدي آمپول,LUPENOX® (ENOXAPARINE 6000 IU SYR
نوکسپرين (انوکسوپرين 6000 واحدي آمپول,NOXPRIN® (ENOXAPARINE 6000 IU SYR
انوکسوپرين 4000 واحدي آمپول,ENOXAPARINE 4000 IU SYR
لوپنوکس (انوکسوپرين 4000 واحدي آمپول,LUPENOX® (ENOXAPARINE 4000 IU SYR
نوکسپرين (انوکسوپرين 4000 واحدي آمپول,NOXPRIN® (ENOXAPARINE 4000 IU SYR
کلکسان (انوکسوپرين 2000واحدي آمپول,CLEXANE® (ENOXAPARIN 2000 IU SYR
اکسي توسين  آمپول 10 خارجي,OXYTOCIN 10 U/ML AMP
دوکسوروبيسين 20م ويال,DOXORUBICIN 20 MG VIAL
سينادوکسوزوم (دوکسوروبيسين 20م ويال,SINADOXOSOME® (DOXORUBICIN 20 MG VIAL
ليپد (دوکسوروبيسين 20م ويال,LIPPOD® (DOXORUBICIN 20 MG VIAL
دوکسوروبيسين 10م ويال,DOXORUBICIN 10 MG VIAL
پني سيلين400000,"PENICILLIN G PROCAINE 400,000 U VIAL"
پني سيلين 800000 ويال,"PENICILLIN G PROCAINE 800,000 U VIAL"
پني سيلين1/200000 ويال,"PENICILLIN G BENZATHINE (PEN LA) 1,200,000 U"
ابدوکسو (دوکسوروبيسين 10م ويال,EBEDOXO® (DOXORUBICIN 10 MG VIAL
پني سيلين 6.3.3 ويال,PENICILLIN 6-3-3 VIAL
زومتا(زولدرونيک اسيد 4م ويال,ZOMETA (ZOLEDRONIC ACID 4 MG VIAL
تريامسينولون امپول ساندوز,TRIAMCINOLONE 40MG/ML VIA SANDOZ
آدريبلاستين (دوکسوروبيسين 10م ويال,ADRIBLASTINA® (DOXORUBICIN 10 MG VIAL
آدريسين (دوکسوروبيسين 10م ويال,ADRICIN® (DOXORUBICIN 10 MG VIAL
آدريامايسين (دوکسوروبيسين 10م ويال,ADRIMISIN® (DOXORUBICIN 10 MG VIAL
روبول (دوکسوروبيسين 10م ويال,ROBOL® (DOXORUBICIN 10 MG VIAL
پرفنازين ميليگرمي آمپول 5,PERPHENAZINE 5 MG/ML AMP
فارما بلاستين (دوکسوروبيسين 10م ويال,FARMABLASTIN® (DOXORUBICIN 10 MG VIAL
دوکسوروبيسين 50م ويال,DOXORUBICIN 50 MG VIAL
ابدوکسو (دوکسوروبيسين 50م ويال,EBEDOXO® (DOXORUBICIN 50 MG VIAL
آدريبلاستين (دوکسوروبيسين 50م ويال,ADRIBLASTINA® (DOXORUBICIN 50 MG VIAL
آدريسين (دوکسوروبيسين 50م ويال,ADRICIN® (DOXORUBICIN 50 MG VIAL
دوکسوسل (دوکسوروبيسين 50م ويال,DOXOCELL® (DOXORUBICIN 50 MG VIAL
دوکتاکسل 160م ويال,DOCETAXEL 160 MG VIAL
دوکتاکسل 80م ويال,DOCETAXEL 80 MG VIAL
تاکسوتر (دوکتاکسل 80م ويال,TAXOTERE® (DOCETAXEL 80 MG VIAL
اي ويتامين 100آمپول,VITAMIN E 100 IU/ML AMP
ويتامين کا 10 م  آمپول ايراني,VITAMIN K1 (PHYTONADIONE) 10MG/ML A
تتراکوزاکتايد ايراني آمپول,TETRACOSACTIDE ACETATE 1MG/ML AMP
دوکتاکسل 80م ويال اکتاويز,DOCETAXEL-ACTAVIS® 80 MG VIAL
دوکتاکس (دوکتاکسل 80م ويال,DOCETAX® (DOCETAXEL 80 MG VIAL
ابدوک (دوکتاکسل 80م ويال,EBEDOCE® (DOCETAXEL 80 MG VIAL
دوکتاکسل 80م ويال هوسپيرا,DOCETAXEL-HOSPIRA® 80 MG VIAL
ويتامين کا 1 م آمپول ايراني,VITAMIN K1 (PHYTONADIONE) 1MG/0.5ML AMPULE
دوکتاکسل 80م ويال ال جي,LG DOCETAXEL® 80 MG VIAL
دوکتاکسل 20م ويال,DOCETAXEL 20 MG VIAL
تاکسوتر (دوکتاکسل 20م ويال,TAXOTERE® (DOCETAXEL 20 MG VIAL
دوکتاکسل 20م ويال اکتاويز,DOCETAXEL-ACTAVIS® 20 MG VIAL
دوکتاکس (دوکتاکسل 20م ويال,DOCETAX® (DOCETAXEL 20 MG VIAL
ابدوک (دوکتاکسل 20م ويال,EBEDOCE® (DOCETAXEL 20 MG VIAL
دوکتاکسل 20م ويال هوسپيرا,DOCETAXEL-HOSPIRA® 20 MG VIAL
دوکتاکسل 20م ويال ال جي,LG DOCETAXEL® 20 MG VIAL
پروژسترون  آمپول 25,PROGESTERONE 25 MG/ML AMP
پروژسترون  آمپول 50,PROGESTERONE 50 MG/ML AMP
پرومتازين آمپول ايراني,PROMETHAZINE 25MG/ML 2ML AMP IRANI
دفروکسامين 500م ويال,DEFEROXAMINE 500 MG VIAL
دزفرال (دفروکسامين 500م ويال,DESFERAL® (DEFEROXAMINE 500 MG VIAL
دائونوروبيسين 20م ويال,DAUNORUBICIN 20 MG VIAL
دائونوبلاستين (دائونوروبيسين 20م ويال,DAUNOBLASTINA®(DAUNORUBICIN 20 MG VIAL
رانيتيدين آمپول,RANITIDINE 25 MG/ML 2 ML AMP
سيکلوفسفاميد200م ويال,CYCLOPHOSPHAMIDE 200 MG VIAL
سيکلوفسفاميد500م ويال,CYCLOPHOSPHAMIDE 500 MG VIAL
دائونومايسين (دائونوروبيسين 20م ويال,DAUNOMYCIN® (DAUNORUBICIN 20 MG VIAL
دالتپارين 7500 واحدي آمپول,DALTEPARIN 7500 IU SYR
فراگمين (دالتپارين 7500 واحدي آمپول,FRAGMIN® (DALTEPARIN 7500 IU SYR
دالتپارين 5000 واحدي آمپول,DALTEPARIN 5000 IU SYR
فراگمين (دالتپارين 5000 واحدي آمپول,FRAGMIN® (DALTEPARIN 5000 IU SYR
دالتپارين 2500 واحدي آمپول,DALTEPARIN 2500 IU SYR
فراگمين (دالتپارين 2500 واحدي آمپول,FRAGMIN® (DALTEPARIN 2500 IU SYR
داکتينومايسين 0.5م ويال,DACTINOMYCIN 0.5 MG VIAL
داکاربازين 100م ويال,DACARBAZINE 100 MG VIAL
داکارل (داکاربازين 100م ويال,DACAROL® (DACARBAZINE 100 MG VIAL
داکاربازين 200م ويال,DACARBAZINE 200 MG VIAL
داکارل (داکاربازين 200م ويال,DACAROL® (DACARBAZINE 200 MG VIAL
سيتارابين 1 گرمي ويال,CYTARABINE 1 GR VIAL
سيتوسار (سيتارابين 1 گرمي ويال,CYTOSAR® (CYTARABINE 1 GR VIAL
اسپکتينومايسين 2گرم آمپول(تروبيسين),TROBICIN (SPECTINOMYCIN 2 HCL 2 G V
سيتارابين 100م ويال,CYTARABINE 100 MG VIAL
آلکسان (سيتارابين 100م ويال,ALEXAN® (CYTARABINE 100 MG VIAL
سيتوسار (سيتارابين 100م ويال,CYTOSAR® (CYTARABINE 100 MG VIAL
اندوکسان (سيکلوفسفاميد500م ويال,ENDOXAN(CYCLOPHOSPHAMIDE 500 MG VIAL
اندوکسان (سيکلوفسفاميد200م ويال,ENDOXAN(CYCLOPHOSPHAMIDE 200 MG VIAL
کلادريبين 10م ويال,CLADRIBINE 10 MG VIAL
مگنويست ويال,MAGNEVIST  469MG/ML 15ML VIA
ليتاک (کلادريبين 10م ويال,LITAK® (CLADRIBINE 10 MG VIAL
سيکلوسپورين 50 م آمپول,CICLOSPORIN 50 MG AMP
پيروکسيکام آمپول,PIROXICAM 20MG/ML AMP
سانديمون ليام (سيکلوسپورين 50 م آمپول,SANDIMMUM LIAM(CICLOSPORIN 50 MG AMP
سيکلوسپورين 250 م آمپول,CICLOSPORIN 250 MG AMP
تتراکوزاکتايد سيناکتن آمپول خارجي,SYNACTHEN (TETRACOSACTIDE ACETATE 1
سانديمون نئورال (سيکلوسپورين 250 م آمپول,SANDIMMUN NEORAL (CICLOSPORIN 250 MG AMP
تي اتيل پرازين آمپول,THIETHYLPRAZINE AMP IRANI
سانديمون ليام (سيکلوسپورين 250 م آمپول,SANDIMMUN LIAM (CICLOSPORIN 250 MG AMP
کارما هاش سي جي (کوريونيک 5000واحدي,KARMA HCG®  (CHORIONIC 5000IU
پرگنيل هاش سي جي (کوريونيک 5000واحدي,PREGNYL® HCG (CHORIONIC 5000IU
تيوريدازين آمپول,THIORIDAZINE HCL INJECTION
ستوکسيماب 5م ويال,CETUXIMAB 5 MG VIAL
اربيتوکس (ستوکسيماب 5م ويال,ERBITUX® (CETUXIMAB 5 MG VIAL
سيتروليکس 250 ميکرو ويال,CETRORELIX 250 MCG VIAL
کاسپوفونژين 50م ويال,CASPOFUNGIN 50 MG VIAL
کانسيداس (کاسپوفونژين 50م ويال,CANCIDAS® (CASPOFUNGIN 50 MG VIAL
کربوپلاتين 50م ويال,CARBOPLATIN 50 MG VIAL
کربوپلاتين 150م ويال مايلن,CARBOPLATIN 150 MG VIAL <MYLAN>
